date,rate
2024-06-11,0.9310001057
2024-06-12,0.9246501154
2024-06-13,0.9312001712
2024-06-14,0.9338301829
2024-06-15,0.9338301459
2024-06-16,0.934560117
2024-06-17,0.9310500981
2024-06-18,0.9310201219
2024-06-19,0.9302301587
2024-06-20,0.9338801513
2024-06-21,0.9347101604
2024-06-22,0.9343701341
2024-06-23,0.9357601736
2024-06-24,0.9313301008
2024-06-25,0.9337500963
2024-06-26,0.9363801809
2024-06-27,0.93373017
2024-06-28,0.9324901567
2024-06-29,0.9328501176
2024-06-30,0.9313701298
2024-07-01,0.9312601557
2024-07-02,0.9301501723
2024-07-03,0.9263801308
2024-07-04,0.9246101511
2024-07-05,0.9223501077
2024-07-06,0.9223501437
2024-07-07,0.9233801281
2024-07-08,0.9230701175
2024-07-09,0.924730093
2024-07-10,0.9231501111
2024-07-11,0.9196801555
2024-07-12,0.916370168
2024-07-13,0.9165600947
2024-07-14,0.9186601095
2024-07-15,0.9171901108
2024-07-16,0.9174001734
2024-07-17,0.9139101772
2024-07-18,0.9170101641
